"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\AdminController.php", "PHP", -5, 0, 0, -9, -1, -15
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\AuthController.php", "PHP", 0, 0, 0, 2, 0, 2
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\MainController.php", "PHP", 37, 0, 0, 48, 10, 95
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Places\PlacesController.php", "PHP", 13, 0, 0, 4, -1, 16
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Places\StorePlacesController.php", "PHP", 2, 0, 0, 0, -1, 1
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Posts\PostsController.php", "PHP", 4, 0, 0, 1, 0, 5
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\StoreController.php", "PHP", 1, 0, 0, 1, 0, 2
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\UpdateController.php", "PHP", 14, 0, 0, 3, 0, 17
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Controllers\Users\IndexController.php", "PHP", 33, 0, 0, 1, 2, 36
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Middleware\AdminMiddleware.php", "PHP", 0, 0, 0, 1, -1, 0
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Middleware\CheckUserIdMiddleware.php", "PHP", -1, 0, 0, -2, 2, -1
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Middleware\CheckpostOwnerMiddleware.php", "PHP", 0, 0, 0, -2, 0, -2
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Requests\Places\UpdatePlacesRequest.php", "PHP", 6, 0, 0, 0, 0, 6
"c:\xampp\htdocs\atrodicelabiedru\app\Http\Requests\Users\UpdateUserRequest.php", "PHP", -33, 0, 0, -11, -6, -50
"c:\xampp\htdocs\atrodicelabiedru\app\Models\Keyword.php", "PHP", -8, 0, 0, 0, -4, -12
"c:\xampp\htdocs\atrodicelabiedru\app\Models\PostKeyword.php", "PHP", -8, 0, 0, 0, -4, -12
"c:\xampp\htdocs\atrodicelabiedru\app\Models\PostRating.php", "PHP", -10, 0, 0, 0, -4, -14
"c:\xampp\htdocs\atrodicelabiedru\app\Models\Vehicle.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\001_create_users_table.php", "PHP", 24, 0, 0, 10, 4, 38
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\002_add_role_to_users.php", "PHP", 19, 0, 0, 10, 4, 33
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\003_create_places_table.php", "PHP", 19, 0, 0, 10, 4, 33
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\004_create_vehicle_table.php", "PHP", 19, 0, 0, 10, 4, 33
